#object field RA DEC radius_aper(arcsecs) uJava F378 F395 F410 F430 gSDSS F515 rSDSS F660 iSDSS F861 zSDSS e_uJava e_F378 e_F395 e_F410 e_F430 e_gSDSS e_F515 e_rSDSS e_F660 e_iSDSS e_F861 e_zSDSS
HW40 MC0072 15.104 -71.295 45.000 16.503 16.042 15.716 15.441 15.253 14.886 14.803 14.408 14.386 14.186 14.151 14.099 0.192 0.209 0.192 0.113 0.095 0.028 0.061 0.019 0.054 0.018 0.039 0.023 
K3 MC0092 6.196 -72.794 200.000 11.716 11.294 11.079 10.689 10.542 10.321 10.051 9.944 9.868 9.751 9.624 9.600 0.020 0.023 0.021 0.011 0.010 0.003 0.007 0.002 0.007 0.002 0.005 0.003 
HW5 MC0093 7.763 -72.343 110.000 15.189 14.994 14.906 14.567 14.506 14.152 14.051 13.717 13.654 13.396 13.324 13.246 0.096 0.123 0.126 0.067 0.062 0.017 0.042 0.013 0.038 0.013 0.027 0.018 
K21 MC0093 10.350 -72.891 90.000 13.743 13.295 13.133 12.655 12.518 12.181 11.991 11.724 11.699 11.518 11.463 11.398 0.052 0.059 0.056 0.028 0.025 0.007 0.016 0.005 0.016 0.005 0.011 0.007 
NGC330 MC0094 14.079 -72.464 190.000 9.037 8.674 8.513 8.449 8.426 8.474 8.452 8.535 8.502 8.507 8.495 8.446 0.006 0.007 0.007 0.004 0.004 0.001 0.003 0.001 0.004 0.001 0.003 0.002 
B112 MC0095 15.596 -72.003 100.000 11.004 10.815 10.681 10.569 10.529 10.507 10.557 10.601 10.623 10.694 10.737 10.704 0.015 0.019 0.024 0.015 0.014 0.005 0.012 0.005 0.014 0.005 0.011 0.007 
NGC411 MC0095 16.979 -71.769 90.000 13.139 12.649 12.421 11.977 11.864 11.532 11.479 11.220 11.202 11.053 10.983 10.924 0.040 0.043 0.054 0.028 0.025 0.007 0.018 0.006 0.019 0.006 0.013 0.007 
K5 MC0113 6.179 -73.755 130.000 14.122 13.583 13.099 12.882 12.789 12.526 12.389 12.097 12.075 11.887 11.824 11.811 0.059 0.064 0.053 0.030 0.027 0.008 0.019 0.006 0.018 0.006 0.013 0.008 
K3 MC0113 6.196 -72.794 225.000 11.668 11.293 11.107 10.656 10.532 10.276 10.054 9.863 9.835 9.707 9.577 9.568 0.019 0.022 0.021 0.011 0.009 0.003 0.006 0.002 0.007 0.002 0.005 0.003 
K6 MC0113 6.358 -74.076 55.000 15.766 15.175 14.871 14.509 14.456 14.115 13.937 13.595 13.555 13.313 13.216 13.165 0.127 0.135 0.122 0.063 0.058 0.016 0.038 0.012 0.036 0.012 0.025 0.015  
K21 MC0114 10.350 -72.891 190.000 12.724 12.267 12.097 11.745 11.578 11.244 11.081 10.800 10.721 10.472 10.501 10.358 0.035 0.039 0.037 0.019 0.017 0.005 0.011 0.004 0.010 0.003 0.008 0.004 
B34 MC0114 11.217 -73.002 75.000 11.879 11.425 11.309 10.937 10.838 10.964 10.507 10.778 10.597 10.580 10.334 10.419 0.023 0.026 0.025 0.013 0.011 0.004 0.008 0.003 0.010 0.003 0.007 0.004 
HW31 MC0115 13.887 -74.064 55.000 16.049 15.671 15.542 14.961 14.789 14.471 14.228 13.909 13.812 13.519 13.325 13.276 0.235 0.277 0.266 0.126 0.111 0.030 0.069 0.021 0.062 0.020 0.040 0.024 
B99 MC0115 15.113 -73.087 55.000 14.536 13.922 13.817 13.511 13.367 13.296 13.207 13.163 13.137 12.951 12.886 12.839 0.115 0.121 0.113 0.061 0.055 0.017 0.042 0.015 0.045 0.015 0.033 0.020 
HW42 MC0115 15.283 -74.074 90.000 16.632 15.665 15.179 15.072 14.823 14.450 14.257 13.869 13.792 13.549 13.479 13.407 0.346 0.289 0.238 0.151 0.126 0.032 0.074 0.021 0.061 0.021 0.046 0.029  
B113 MC0115 15.733 -73.336 55.000 15.509 14.898 14.804 14.216 14.152 13.811 13.676 13.546 13.513 13.345 13.342 13.265 0.189 0.198 0.191 0.089 0.084 0.022 0.055 0.018 0.055 0.019 0.041 0.025 
HW59 MC0116 17.225 -73.242 45.000 15.925 15.683 15.894 15.353 15.411 14.910 14.999 14.394 14.233 14.029 13.930 13.826 0.211 0.257 0.305 0.148 0.141 0.038 0.096 0.027 0.076 0.025 0.051 0.030 
HW63 MC0116 17.554 -73.209 45.000 15.825 15.589 15.804 15.266 15.329 14.836 14.932 14.343 14.187 13.992 13.900 13.799 0.211 0.257 0.305 0.148 0.141 0.038 0.096 0.027 0.076 0.025 0.051 0.030 
L91 MC0116 18.212 -73.119 95.000 14.374 13.901 13.728 13.439 13.426 13.084 13.039 12.763 12.737 12.617 12.657 12.578 0.114 0.123 0.120 0.065 0.060 0.017 0.041 0.013 0.040 0.013 0.029 0.017 
K6 MC0133 6.358 -74.076 50.000 15.923 15.305 15.002 14.564 14.468 14.108 14.010 13.627 13.590 13.346 13.260 13.207 0.140 0.144 0.129 0.066 0.059 0.017 0.040 0.012 0.037 0.012 0.025 0.015 
HW31 MC0135 13.887 -74.064 55.000 16.040 15.520 15.464 15.000 14.926 14.473 14.380 13.943 13.900 13.664 13.573 13.543 0.157 0.166 0.169 0.086 0.079 0.021 0.050 0.015 0.045 0.015 0.031 0.019 
HW42 MC0135 15.283 -74.074 90.000 16.741 15.876 15.779 15.227 15.131 14.427 14.323 13.816 13.795 13.543 13.591 13.520 0.240 0.205 0.216 0.106 0.095 0.021 0.051 0.015 0.043 0.015 0.033 0.021 
