#object field RA DEC radius_aper(arcsecs) uJava F378 F395 F410 F430 gSDSS F515 rSDSS F660 iSDSS F861 zSDSS e_uJava e_F378 e_F395 e_F410 e_F430 e_gSDSS e_F515 e_rSDSS e_F660 e_iSDSS e_F861 e_zSDSS
NGC121 MC0070 6.696 -71.537 125.000 12.350 11.915 11.735 11.373 11.232 10.857 10.705 10.261 10.195 10.015 9.892 9.867 0.027 0.031 0.029 0.015 0.013 0.004 0.009 0.003 0.008 0.003 0.005 0.003 
HW40 MC0072 15.104 -71.295 25.000 16.966 16.442 16.283 15.804 15.688 15.287 15.151 14.808 14.768 14.587 14.538 14.497 0.225 0.241 0.237 0.119 0.105 0.030 0.067 0.022 0.064 0.021 0.045 0.026 
NGC361 MC0072 15.546 -71.606 70.000 13.545 13.139 12.973 12.546 12.392 12.014 11.858 11.475 11.436 11.237 11.169 11.111 0.047 0.053 0.052 0.026 0.023 0.006 0.015 0.005 0.014 0.004 0.009 0.005 
NGC458 MC0072 18.717 -71.550 50.000 12.443 11.985 11.552 11.510 11.509 11.539 11.510 11.546 11.607 11.610 11.643 11.635 0.027 0.030 0.026 0.015 0.014 0.005 0.012 0.005 0.015 0.005 0.012 0.007 
K3 MC0092 6.196 -72.794 100.000 12.853 12.370 12.170 11.866 11.714 11.434 11.242 10.957 10.918 10.729 10.677 10.577 0.033 0.037 0.035 0.019 0.017 0.005 0.011 0.004 0.011 0.004 0.008 0.004 
NGC121 MC0093 6.696 -71.537 125.000 12.133 11.783 11.705 11.221 11.088 10.842 10.621 10.275 10.192 9.992 9.844 9.811 0.024 0.028 0.028 0.013 0.012 0.003 0.008 0.003 0.008 0.002 0.005 0.003 
K7 MC0093 6.942 -72.782 60.000 15.296 14.877 14.643 14.259 14.119 13.848 13.650 13.322 13.258 12.964 12.836 12.769 0.104 0.117 0.109 0.055 0.049 0.014 0.033 0.011 0.032 0.010 0.021 0.012 
HW5 MC0093 7.763 -72.343 60.000 15.702 15.505 15.394 15.033 14.934 14.631 14.443 14.148 14.039 13.721 13.583 13.494 0.118 0.148 0.147 0.076 0.068 0.019 0.046 0.015 0.044 0.014 0.029 0.017 
K21 MC0093 10.350 -72.891 50.000 14.498 14.101 13.890 13.497 13.381 13.100 12.861 12.613 12.563 12.349 12.280 12.222 0.072 0.083 0.077 0.039 0.035 0.010 0.023 0.008 0.023 0.007 0.016 0.009 
NGC330 MC0094 14.079 -72.464 100.000 9.277 8.954 8.782 8.778 8.769 8.950 8.835 9.004 8.959 8.926 8.785 8.719 0.007 0.008 0.008 0.005 0.004 0.001 0.004 0.001 0.004 0.002 0.003 0.002 
NGC361 MC0095 15.546 -71.606 50.000 13.717 13.335 13.187 12.739 12.583 12.170 12.039 11.688 11.645 11.498 11.426 11.363 0.053 0.060 0.078 0.040 0.035 0.010 0.024 0.008 0.023 0.007 0.016 0.009 
