#object field RA DEC radius_aper(arcsecs) uJava F378 F395 F410 F430 gSDSS F515 rSDSS F660 iSDSS F861 zSDSS e_uJava e_F378 e_F395 e_F410 e_F430 e_gSDSS e_F515 e_rSDSS e_F660 e_iSDSS e_F861 e_zSDSS
NGC361 MC0072 15.546 -71.606 140.000 12.959 12.586 12.407 11.965 11.826 11.462 11.327 10.952 10.926 10.726 10.663 10.609 0.037 0.042 0.042 0.021 0.019 0.005 0.012 0.004 0.011 0.004 0.008 0.004 
NGC458 MC0072 18.717 -71.550 90.000 12.152 11.677 11.241 11.198 11.175 11.209 11.177 11.203 11.262 11.261 11.289 11.286 0.024 0.026 0.022 0.013 0.012 0.004 0.011 0.004 0.013 0.004 0.010 0.006  
K7 MC0093 6.942 -72.782 120.000 14.689 14.294 14.078 13.669 13.492 13.203 13.074 12.755 12.726 12.504 12.454 12.382 0.081 0.094 0.089 0.046 0.040 0.011 0.027 0.009 0.025 0.009 0.018 0.011 
NGC361 MC0095 15.546 -71.606 100.000 13.031 12.670 12.518 12.105 11.950 11.539 11.424 11.073 11.036 10.891 10.828 10.771 0.039 0.045 0.058 0.031 0.027 0.008 0.018 0.006 0.017 0.006 0.012 0.007  
NGC458 MC0095 18.717 -71.550 90.000 12.021 11.543 11.248 11.062 11.039 11.009 11.042 11.100 11.179 11.174 11.240 11.175 0.024 0.026 0.031 0.018 0.017 0.006 0.015 0.006 0.018 0.006 0.014 0.008 
K1 MC0113 5.362 -73.749 120.000 14.728 14.159 14.010 13.568 13.452 13.109 12.963 12.596 12.539 12.308 12.231 12.215 0.078 0.084 0.082 0.041 0.037 0.010 0.024 0.008 0.023 0.008 0.016 0.010 
NGC152 MC0114 8.233 -73.116 150.000 13.211 12.749 12.528 12.196 12.081 11.850 11.638 11.381 11.261 10.988 10.885 10.762 0.043 0.048 0.045 0.023 0.021 0.006 0.014 0.004 0.013 0.004 0.009 0.005 
K13 MC0114 8.921 -73.598 130.000 13.554 13.101 12.902 12.528 12.406 12.106 11.913 11.683 11.563 11.339 11.349 11.205 0.049 0.055 0.051 0.026 0.023 0.007 0.016 0.005 0.015 0.005 0.011 0.006 
K38 MC0115 14.450 -73.422 160.000 13.088 12.300 12.160 11.784 11.649 11.352 11.200 11.008 10.931 10.731 10.687 10.613 0.059 0.057 0.053 0.028 0.025 0.007 0.017 0.006 0.016 0.006 0.012 0.007 
K44 MC0115 15.517 -73.926 120.000 13.851 13.473 13.351 12.892 12.698 12.401 12.179 11.899 11.794 11.546 11.446 11.385 0.085 0.100 0.095 0.048 0.042 0.011 0.027 0.008 0.024 0.008 0.017 0.010 
 
